"State","hitdiffs","date_end","anxdiffs"
"DE",11,2021-01-03,-0.24303987150444
"DE",-5,2021-01-10,-0.24303987150444
"DE",-1,2021-01-17,-0.243039871504441
"DE",13,2021-01-24,0.207814759372111
"DE",-8,2021-01-31,0.28295719785155
"DE",3,2021-02-07,-0.15177749014275
"DE",-16,2021-02-14,-0.224233271475123
"DE",-16,2021-02-21,-0.065837686281133
"DE",21,2021-02-28,-0.0394384220821351
"DE",-10,2021-03-07,-0.220946425507898
"DE",9,2021-03-14,-0.251197759412191
"DE",8,2021-03-21,0.302715208165719
"DE",-5,2021-03-28,0.395034036095371
"FL",2,2020-05-17,-0.231955642190121
"FL",-6,2020-05-24,-0.012412679330613
"FL",-3,2020-05-31,0.157797916403678
"FL",2,2020-06-07,0.170482164800889
"FL",-5,2020-06-14,-0.013849768869634
"FL",13,2020-06-21,-0.114645896849369
"FL",24,2020-06-28,0.301353948496228
"FL",-3,2020-07-05,-0.168915077216313
"FL",-2,2020-07-12,0.225296788240423
"FL",-14,2020-07-19,-0.28512237155746
"FL",5,2020-07-26,-0.153820153194083
"FL",-7,2020-08-02,0.0220172208102291
"FL",-17,2020-08-09,0.0220172208102289
"FL",-4,2020-08-16,0.0220172208102291
"FL",-1,2020-08-23,0.0220172208102299
"FL",-2,2020-08-30,0.0220172208102291
"FL",6,2020-09-06,-0.121717674528698
"FL",8,2020-09-13,-0.145673490418519
"FL",-10,2020-09-20,0.090381923815297
"FL",5,2020-09-27,0.129724492854267
"FL",-8,2020-10-04,0.101495708640818
"FL",-3,2020-10-11,0.096790911271911
"FL",2,2020-10-18,-0.113542335656298
"FL",3,2020-10-25,-0.148597876810999
"FL",-2,2020-11-01,0.114315759629303
"FL",0,2020-11-08,0.158134699036019
"FL",-10,2020-11-15,0.0996299785976159
"FL",13,2020-11-22,0.0898791918578701
"FL",11,2020-11-29,0.18693892464484
"FL",-10,2020-12-06,0.203115546776
"FL",8,2020-12-13,-0.27137604508217
"FL",5,2020-12-20,-0.350457977058544
"FL",9,2020-12-27,-0.100741829494581
"FL",23,2021-01-03,-0.059122471567254
"FL",-4,2021-01-10,-0.0591224715672539
"FL",-11,2021-01-17,-0.059122471567254
"FL",5,2021-01-24,0.013088661525172
"FL",-6,2021-01-31,0.0251238503739111
"FL",-1,2021-02-07,0.17337233137491
"FL",-8,2021-02-14,0.198080411541744
"FL",-14,2021-02-21,-0.110119864413735
"FL",5,2021-02-28,-0.161486577072981
"FL",4,2021-03-07,0.184067512952411
"FL",6,2021-03-14,0.241659861289975
"FL",-9,2021-03-21,-0.238931608538652
"FL",12,2021-03-28,-0.319030186843424
"GA",1,2020-05-17,-0.253148679744106
"GA",-8,2020-05-24,0.082942356498163
"GA",-1,2020-05-31,-0.042476607433295
"GA",0,2020-06-07,0.149717830574579
"GA",-8,2020-06-14,-0.00928752463841309
"GA",-1,2020-06-21,0.096411672055094
"GA",19,2020-06-28,0.042258343115994
"GA",6,2020-07-05,-0.096214160957987
"GA",8,2020-07-12,-0.00388200270703898
"GA",-16,2020-07-19,0.258453133222957
"GA",1,2020-07-26,0.053417096401691
"GA",1,2020-08-02,-0.062563676460678
"GA",-16,2020-08-09,-0.0625636764606781
"GA",-2,2020-08-16,-0.062563676460678
"GA",0,2020-08-23,-0.0625636764606791
"GA",-5,2020-08-30,-0.062563676460678
"GA",8,2020-09-06,0.027785217605852
"GA",3,2020-09-13,0.0428433666169401
"GA",-11,2020-09-20,-0.016364100441274
"GA",0,2020-09-27,-0.026232011617643
"GA",-3,2020-10-04,-0.038834621287411
"GA",-2,2020-10-11,-0.040935056232372
"GA",-1,2020-10-18,0.138922733692054
"GA",1,2020-10-25,0.168899032012793
"GA",-1,2020-11-01,-0.00209221578236096
"GA",0,2020-11-08,-0.030590757081552
"GA",-6,2020-11-15,0.098571673641955
"GA",10,2020-11-22,0.12009874542921
"GA",9,2020-11-29,-0.0799359872070089
"GA",-5,2020-12-06,-0.11327510931304
"GA",13,2020-12-13,0.0313418896477811
"GA",6,2020-12-20,0.055444722807919
"GA",11,2020-12-27,-0.00614899453218609
"GA",9,2021-01-03,-0.0164146140888699
"GA",-4,2021-01-10,-0.016414614088869
"GA",-2,2021-01-17,-0.016414614088869
"GA",-3,2021-01-24,0.260781852855063
"GA",-7,2021-01-31,0.30698126401238
"GA",-3,2021-02-07,-0.19860424737714
"GA",-11,2021-02-14,-0.282868499275399
"GA",-13,2021-02-21,-0.156265542323993
"GA",6,2021-02-28,-0.135165049498759
"GA",-3,2021-03-07,1.22550250190034e-05
"GA",11,2021-03-14,0.022541805778982
"GA",-5,2021-03-21,-0.035695862519722
"GA",9,2021-03-28,-0.045402140569506
"HI",0,2020-05-17,-0.109148946290183
"HI",-10,2020-05-24,-0.084114212344342
"HI",3,2020-05-31,-0.025756682065424
"HI",5,2020-06-07,-0.144294050600771
"HI",-12,2020-06-14,0.12894888087741
"HI",2,2020-06-21,-0.170546857862259
"HI",-2,2020-06-28,0.097853511927225
"HI",3,2020-07-05,0.06720654303718
"HI",15,2020-07-12,-0.01140118640377
"HI",-12,2020-07-19,0.383697498713554
"HI",-1,2020-07-26,0.103345062351922
"HI",30,2020-08-02,-0.071772639169891
"HI",5,2020-08-09,-0.0717726391698911
"HI",0,2020-08-16,-0.07177263916989
"HI",0,2020-08-23,-0.071772639169891
"HI",0,2020-08-30,-0.0717726391698911
"HI",0,2020-09-06,0.106238420664604
"HI",0,2020-09-13,0.13590693063702
"HI",-20,2020-09-20,-0.193971272754503
"HI",0,2020-09-27,-0.248950973319758
"HI",-14,2020-10-04,0.052533962137262
"HI",-6,2020-10-11,0.102781451380099
"HI",-6,2020-10-18,0.074411773418976
"HI",17,2020-10-25,0.069683493758789
"HI",-11,2020-11-01,0.920134378556967
